index,signature,time,phish_type,victims,phishers,token_accounts,loss
1,VBFpG7RDDmRCyPmFZ9mQTrCKq3WbxSJVud4BWc1CAqmmrQAcahX85VRQ7NswHVrZYMWr1y2vQdHkZN8cZjwSFgs,2024/12/29 22:18,STMT,9oDPUnKtpSYMRu6wYfMxvcGV68LyZs7fdJ8YHGDj3uqh,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","5PQ2CMXhPKA2KdHpvygnZ3e1ZYu19asCGCzC6qDv8J5L,AWVRyqCDqNRQR7ScjWriaWU39zQivTPF8pTWUXtVNVHk,9takSsQq6pkovT8GsKGqUDcbrKEVRHVsVN1o44eFbdSa","[('EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v', 178.283181), ('7h5AzpYTAnh4Gyux8Gqko5Fvx4AYQBZdkzHZ2CsBudvJ', 2356.864468), ('HzN6MGRCi4QMpAeqvKnqsDDodAq2LWNdxSkPHnCpump', 6605.580846)]"
2,2o9miqmMRd4p4eYMAVj1Gz9s3odq9uMKe8yKLkeXfzh1MBfQurSVMinHeTwVktHN87erLszUVoTrfRawQzY5dYap,2024/12/29 21:10,STMT,7QQHWa1MgsDxoJdNMJ7SwzCANVug9FX2PmKW1GfehBL3,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","3HMb6Q3XmxdETejp7hNpJ1pu4WpV9bDp94n7R5c6kHnK,4Gi8tc9p13NNoXgRKFKgSriCU6BzzyJmXyDnHi59ATzt,AyUxnCq7R27GeoW44YCboUKSfdf9TZMYXMYBty6kA3PN","[('HzN6MGRCi4QMpAeqvKnqsDDodAq2LWNdxSkPHnCpump', 51984.244225), ('EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v', 7.698012), ('RufNMBEbKJr6CM1t3nwakZ3BaE9csF2AR15s32VWcRE', 1324.67771)]"
3,62Vhn1rM6hJspfFk2zA8AK8vrzvvRyTStEHjzZtgqXzqnhJ8fcPSj6oT3djDtPKHiT9thuyyVNC9d9dcT8z2PEQY,2024/12/29 15:43,STMT,79PjAwBfomVkpKtrBYqiqccfue5mp1UcUxnaCLAk6Jow,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","HfqNn6EcPYNgDKPKm76oNYqhc6DuHD9nwmAQBJvpuqyw,AeCnQcMmG64sUb4thpzdxS27ShQhMhBRMjPMbrFzZpA3","[('B9QxfiMd6tjSGnJ8nzFK3XbtuQNPKCNkQeehMqgxpump', 34678.930499), ('74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump', 2514.41035)]"
4,LQ2osRQbUuHs8pDrLzd7Gpqdm8ULmp17ymoU5jKMPLh5vk8qgZz7mNV84aDy3DAKhbkZ99kgAvngnj4PgcRd2Ej,2024/12/29 7:14,STMT,goYpoY5QakZFWE581HwkuAtysV6gy8LDt3sj6jLHCkC,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","GxoAYdr68XvzCXjSPQNAarfuGm513aYGfhi7ddsgSEyk,3cXkbYcrcTSyufFjg1veQLVvKSWZV5r8hypANXaKGEoB,F7NdsvuBYCajfjBSaL6sEep6RMTmUNvbsW9jBivBHJWv","[('AVLhahDcDQ4m4vHM4ug63oh7xc8Jtk49Dm5hoe9Sazqr', 1242.22947), ('7EYnhQoR9YM3N7UoaKRoA44Uy8JeaZV3qyouov87awMs', 1044.037620766), ('SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y', 1590.991756538)]"
5,2u3gdAeUt6xTZa5qgHmppd4up9TyfRdpQ6JpYj7c8q7qrNNCv929m26QaLkP5MBKULKA5dN5Mc6RyBfwdnPieTzS,2024/12/29 3:28,STMT,BeS6niwYjXGsju2wD4MQKikmYxfmUt6kR8B1ebbANKqo,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","5BG45riaZiFfKYE5m8gARxJ1HSYYA2zwoVPTZfqgTDYB,7qfqLNu34vAREu1pFUaLq4zNYjsvvV5WwVzqgrFs1CCo,9Q4AWsuPths25A4KG4PeeLYWX38Fa8bcGXN4RMUYh49n","[('7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr', 60.666542748), ('Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump', 188.383461), ('8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn', 171.597065)]"
6,4nyEuuVXZGq2DoPYcoJ36gwqQNgF4kzKSj8pr1cWPKJA2nSFPr84TEMqKYKkYRfiHfXsE8vC2aKXULtrJ8ELgvbw,2024/12/29 3:28,STMT,BeS6niwYjXGsju2wD4MQKikmYxfmUt6kR8B1ebbANKqo,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","u5KJHajWUSQwBkD1cyNPSpRTLovUwk9Qq9p5U7ny2hT,GHBMZX5GM3Kqun1cUBVG1KoJ6szvn8bQoNvijep53SgV,2jdtb12EB7dzmYGWu4vaAGoitCZUZbqRxaqTCvYNuoJ9","[('FpZGD6xTT9PFnbfpFGZEcLEfDtWH8btFaiAsQqSupump', 13262575.0), ('5z3EqYQo9HiCEs3R84RCDMu2n7anpDMxRhdK8PSWmrRC', 253.19470729), ('63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9', 947.62865)]"
7,3q32ai92eVAaLmygTUCKif44NftyTMPXqgkB2kb1KHzv3PyjtLc2zFMiTKCgWLLCqiwbRivgEW16s244hqFu1Cx3,2024/12/29 1:55,STMT,EGmjtnqaKBukgr2SaZYAScMghL7WAtSfGcs3JziCeBBk,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","GkSZsw5NbA2pHohTatFF9WWgkNQ65Mc2rJqZ9HWuyEy3,C4p21c7jmGPpW5TubVFgH7xtDfGkF7g2jmGrTxNvdEwp,zXAhGYqxQThmFuPF34TNHvrpCjXf1c4Z4LzPsrXgPLb","[('5EdKas4QsHaa71QS1X98wiCTgJCCVMjw5GhY5QMKpump', 102133.739883), ('EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm', 193.785698), ('GLPdQwGtjcynj3RLraenPeR9v1REnpdyuciPBpVipump', 21350.038217)]"
8,63PdKjNw85WbvPf25tzKJExrLmF4PCUMRZyb9Ab6dC69d3Rs8GHZ6ie9SJEvB2mXoF1VgCo4ELbGJdZMcvbfghkm,2024/12/29 1:38,STMT,46Pc9ibK6mvLtGVMHnzwPz8eRPxyFTMkyoWdTbssBEcv,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","3CGiwtNw7o2vS3WNtayHUSkH4btMGPWj9xxjb9ox5sZM,ERzYCs1kcMAnNBHWqe1yeqBGZ1hH5g55upD1PRoD4fGh,8GsiLRCwrimehca5P8Sg4wLqTev6Y35Nie5cX5maJuuC","[('GNhGFeK5rr6WWpsGC2TdorJwh7QwAMy9RuenSRWbjZrY', 5125.471617), ('7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL', 3102.952972), ('8Ki8DpuWNxu9VsS3kQbarsCWMcFGWkzzA8pUPto9zBd5', 275.748036547)]"
9,3jxhvnQeMcFfudZ6sFsqRzTJYgL9mgGGeSnGZquKk4bXU7nQ4EQU9by5xP38qFzYTBBouTxKku4SLUrLNvf39zzz,2024/12/29 1:19,STMT,DKP8JR7yDeeRVWphVaC7esJf2511AwXWv9P6kuFFCkak,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","9cZFpR5z5h534vrX55BpdZzn74dDAtNZzSXMYyoGxcu1,23eS1y963CpjdUj7Mizzh34TD5giLRec7z5uG75KTBuP","[('4Cnk9EPnW5ixfLZatCPJjDB1PUtcRpVVgTQukm9epump', 14000.500184), ('GLPdQwGtjcynj3RLraenPeR9v1REnpdyuciPBpVipump', 4118.108995)]"
10,V4LeTfqW1A6fZwFXwebFeDEuRna1zZHQPLafVH2bNWJjk3yKbFSYcB1w1MdWM4CZt4WamgA1cjbB2K3LNHRojjf,2024/12/29 1:38,STMT,46Pc9ibK6mvLtGVMHnzwPz8eRPxyFTMkyoWdTbssBEcv,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","FmEwcRbJjbq4tkweduUpPCjUCx6zTJS27cpDoaeVKFL8,4Y9LGM48EFVgQzdWr4744WFxAiWTegGHyUqR2ApwE4dF,5Ub4FVU1Tu5qLT9B9W9cn7E8LCAhDuJ2HzGi8FsfvA2U","[('7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr', 23.740002566), ('2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv', 890.415954), ('Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump', 227.701145)]"
